상품코드	물류사용단위	물류사용단위수량
0072512179079	EA	1 
0810092677260	EA	1 
0884851066732	갑	40 
1020090133098	EA	1 
2300186505275	EA	1 
4711577049496	EA	1 
4716493014924	갑	10 
4716493015822	DZ	10 
4901681185696	갑	10 
4901681834907	갑	10 
4901681861392	갑	10 
4901681872596	갑	10 
4901681941346	갑	10 
4901881544583	묶음	5 
4901881545276	DZ	12 
4901991032512	갑	5 
4901991063141	EA	1 
4901991063141	갑	5 
4901991063493	갑	5 
4901991063509	갑	5 
4901991065060	갑	10 
4901991065060	EA	1 
4901991065701	갑	10 
4901991065770	갑	10 
4901991065770	EA	1 
4901991065794	갑	10 
4901991065794	EA	1 
4901991707212	갑	5 
4901991707977	갑	5 
4902505632198	갑	5 
4902505633973	갑	10 
4902505637988	갑	10 
4902505649677	갑	10 
4902505649837	갑	5 
4902505663192	갑	10 
4902505666032	갑	10 
4902505670220	갑	10 
4902505677915	갑	5 
4902505679223	갑	5 
4902506420312	갑	10 
4902506420404	갑	10 
4902506421029	갑	10 
4902778183915	갑	10 
4902778183915	EA	1 
4902778273319	갑	10 
4902778277218	갑	10 
4902778282366	갑	10 
4902778299395	갑	10 
4902778307007	갑	10 
4902778313688	갑	10 
4902778313909	EA	1 
4902778313909	갑	10 
4902778318232	갑	10 
4902778323304	갑	10 
4902778339480	갑	10 
4971516018277	갑	10 
4975364121684	EA	1 
8801067029629	DZ	12 
8801067501880	묶음	6 
8801067603751	EA	1 
8801067604666	DZ	12 
8801067610889	DZ	12 
8801067654388	EA	1 
8801067662383	EA	1 
8801067662390	EA	1 
8801067662437	EA	1 
8801067662451	EA	1 
8801067663991	EA	1 
8801067664066	EA	1 
8801067675130	EA	1 
8801067675246	EA	1 
8801067676335	EA	1 
8801067714747	갑	40 
8801067718097	DZ	12 
8801067723862	갑	20 
8801067724074	갑	10 
8801067726160	DZ	12 
8801067726566	EA	1 
8801067739610	DZ	12 
8801067742948	DZ	12 
8801067749077	DZ	12 
8801067940085	DZ	12 
8801067940184	DZ	12 
8801067967792	DZ	12 
8801067994781	EA	1 
8801067998864	EA	1 
8801067998932	EA	1 
8801067999038	EA	1 
8809063639941	EA	1 
